Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Maple,UN,"omen, iso, deadlock",3,352,215.2,1.05,71%,144,0.76,0.29,0.08,0.09,39%,9%,Apr-45,22,268,255,103,29,33
Kestrel,UN,"raze, jett, neon",3,262,225.5,1.02,70%,146.4,0.79,0.23,0.14,0.09,26%,10%,Mar-29,24,206,202,59,36,23
The Big Alpha,UN,"cypher, vyse",2,43,175.5,1,58%,112.4,0.65,0.07,0.02,0.09,41%,25%,02-Aug,14,28,28,3,1,4
eluwu,PK,"jett, raze",2,148,214.8,1.12,77%,138.3,0.77,0.14,0.17,0.16,28%,22%,02-Sep,24,114,102,21,25,23
xuss,PL,"jett, yoru, raze",3,419,228.8,1.18,70%,143.9,0.83,0.13,0.2,0.16,27%,12%,Jun-52,26,346,292,54,84,65
nerve,US,"astra, omen, viper",3,1163,189.8,1.05,73%,128.2,0.67,0.32,0.07,0.07,25%,19%,32/165,26,783,749,377,77,81
Logic,UN,"sova, fade, vyse",3,207,216,1.12,78%,131.7,0.75,0.3,0.09,0.04,24%,9%,Feb-23,20,156,139,63,18,9
poeth,FR,"cypher, viper, vyse",3,90,211,1.05,72%,143.4,0.72,0.31,0.09,0.08,28%,13%,Feb-15,20,65,62,28,8,7
ktron,ES,"killjoy, viper, vyse",3,109,209.6,1.04,61%,137.9,0.72,0.14,0.13,0.09,37%,15%,Feb-13,21,79,76,15,14,10
Jackk,US,"sova, fade, waylay",3,522,189.6,1.07,72%,126.9,0.69,0.28,0.05,0.05,32%,18%,13/71,31,361,337,147,27,26
c4Lypso,CA,"killjoy, vyse, cypher",3,210,233.6,1.04,68%,152.5,0.81,0.13,0.16,0.1,36%,17%,Jun-35,26,171,164,28,33,22
brawk,US,"tejo, sova, vyse",3,671,194.9,1.11,78%,131.7,0.68,0.34,0.05,0.04,20%,15%,13/88,26,453,407,228,36,26
Flashback,KR,"cypher, killjoy, viper",3,225,200.3,1.23,74%,134.6,0.74,0.19,0.09,0.08,31%,9%,Mar-32,24,166,135,43,21,19
baze,US,"sova, brimstone, viper",3,268,199.9,0.99,71%,132.4,0.74,0.27,0.05,0.05,31%,9%,Jul-77,33,198,201,72,13,14
Rey,JP,"jett, raze, neon",3,180,253,1.01,67%,168.4,0.82,0.23,0.13,0.16,24%,14%,Mar-21,30,147,146,42,24,29
Jinggg,SG,"omen, raze, killjoy",3,1123,222.8,1.1,74%,148.5,0.77,0.25,0.14,0.12,24%,12%,Aug-68,27,862,781,282,149,120
d4v41,MY,"killjoy, viper, kayo",3,1123,197.8,1.1,73%,136,0.72,0.26,0.08,0.06,26%,8%,12/145,29,808,732,289,80,65
RAMEN,AU,"sova, fade",2,189,208.1,1.02,78%,145.1,0.7,0.37,0.04,0.03,21%,7%,Feb-27,18,132,129,70,8,5
Jonaaa6,US,"breach, viper, deadlock",3,1267,204.3,1.03,72%,134.7,0.7,0.35,0.07,0.07,26%,17%,30/181,27,888,861,442,93,95
Lethalz,UN,neon,1,38,233.5,0.97,68%,142.9,0.82,0.08,0.18,0.16,21%,33%,01-Mar,18,31,32,3,7,6
om3y,US,"clove, yoru, iso",3,883,221.5,1.08,70%,147.6,0.79,0.2,0.12,0.13,27%,14%,Dec-88,30,696,645,180,106,118
damaraa,ID,"neon, raze, jett",3,492,250.8,1.15,70%,159.2,0.87,0.28,0.2,0.18,26%,36%,04-Nov,29,428,371,140,99,89
Daki,BR,"viper, sova",2,62,206,0.91,65%,146.7,0.68,0.39,0.03,0.1,33%,33%,02-Jun,19,42,46,24,2,6
mEgA,IT,"breach, omen, deadlock",3,121,191,0.99,74%,125.6,0.72,0.31,0.09,0.05,26%,25%,Jun-24,28,87,88,38,11,6
FireBallOps,US,"cypher, killjoy, viper",3,1538,222.4,1.13,70%,150.9,0.81,0.15,0.08,0.07,40%,13%,21/157,29,1249,1110,226,123,108
JrayN,TR,"kayo, sova, viper",3,323,180,1.05,72%,118.8,0.65,0.29,0.06,0.08,37%,16%,Aug-51,19,211,201,93,19,26
froz,KR,"cypher, vyse, killjoy",3,231,198.4,1.12,68%,134,0.73,0.15,0.1,0.06,36%,19%,Jun-32,28,169,151,34,22,14
melya,PK,"killjoy, cypher, viper",3,320,197.5,1.09,69%,135.5,0.73,0.18,0.08,0.1,27%,4%,Feb-55,23,233,214,59,27,31
Krizz,PL,"cypher, vyse, killjoy",3,210,201.3,1.06,69%,134.1,0.7,0.16,0.1,0.05,28%,9%,Mar-34,27,148,139,34,21,11
Mym,DE,omen,1,125,215.6,0.94,70%,146.3,0.77,0.28,0.12,0.07,31%,,0/25,25,96,102,35,15,9
Banger,KR,"viper, cypher, killjoy",3,261,196.2,1.18,72%,128,0.72,0.15,0.04,0.06,36%,21%,Oct-47,23,188,160,38,10,16
SID,KR,"raze, jett, tejo",3,261,248.5,1.12,70%,157.3,0.84,0.21,0.16,0.12,24%,,0/12,27,220,196,56,41,32
Pkm,KR,"yoru, raze, neon",3,263,231,1.04,75%,148.6,0.8,0.23,0.24,0.19,22%,,0/19,27,211,202,60,63,49
valyn,US,"omen, astra",2,437,199,1.05,74%,126.4,0.71,0.37,0.08,0.07,25%,14%,May-36,26,312,298,162,34,32
snoopy,UN,"vyse, breach",2,64,198,1.05,73%,135.7,0.7,0.3,0.03,0.05,20%,25%,02-Aug,19,45,43,19,2,3
LSR,NO,sage,1,23,208,1,78%,145.9,0.7,0.43,0.13,0.09,26%,,0/1,16,16,16,10,3,2
NMSRLM,US,"deadlock, cypher, chamber",3,452,219.4,1.01,67%,143.9,0.79,0.15,0.09,0.11,37%,14%,13/96,26,359,355,70,41,48
seven,MX,"cypher, sage, gekko",3,572,211.6,1.08,74%,136.2,0.73,0.28,0.12,0.1,27%,16%,Sep-57,24,418,386,158,71,57
Akaza2K,TR,"killjoy, cypher, deadlock",3,135,244.6,1.16,67%,159.6,0.84,0.1,0.14,0.12,32%,17%,Mar-18,29,114,98,14,19,16
Boni,PH,"neon, yoru, jett",3,1867,248.3,1.07,70%,159.2,0.84,0.25,0.19,0.18,25%,18%,22/124,34,1577,1474,465,364,340
Microo,TH,"jett, cypher, neon",3,249,229,1.09,72%,149.5,0.83,0.17,0.16,0.13,34%,18%,Jul-39,25,207,190,42,40,32
Core,BA,"omen, brimstone",2,345,225.1,0.99,77%,146.8,0.77,0.48,0.07,0.08,22%,20%,Aug-40,25,264,266,165,25,26
DrastZ,IT,"tejo, killjoy, fade",3,434,185.4,1.1,74%,120.8,0.66,0.27,0.06,0.06,25%,21%,Nov-52,22,287,262,118,27,26
Angela,TH,"sova, viper, breach",3,445,204.3,1,71%,135.8,0.71,0.36,0.06,0.09,20%,24%,13/55,25,318,318,161,27,38
Near,KW,"omen, viper, cypher",3,190,206.7,1.08,76%,130.2,0.75,0.24,0.07,0.06,26%,14%,May-37,25,143,133,45,14,12
Tun,VN,"omen, sova, jett",3,445,203.6,1.02,74%,137.4,0.74,0.35,0.07,0.07,25%,16%,Dec-74,33,329,322,156,30,32
Amy1ne,SE,jett,1,20,243,1.06,70%,176.2,0.85,0.05,0.25,0.15,28%,33%,01-Mar,17,17,16,1,5,3
Yuno,JP,"iso, harbor, jett",3,102,235.2,1.05,67%,147.8,0.83,0.2,0.19,0.11,34%,11%,01-Sep,25,85,81,20,19,11
Ali,PS,"iso, raze, clove",3,525,207,1.08,71%,134.6,0.74,0.3,0.12,0.11,29%,18%,13/73,26,387,358,155,61,56
twigz,US,"neon, jett, raze",3,692,230.1,1.07,71%,150.6,0.81,0.2,0.17,0.15,26%,10%,Jun-61,32,561,524,136,116,104
Leo,CN,"neon, yoru, raze",3,720,247.2,1.06,68%,157.3,0.85,0.26,0.19,0.18,25%,19%,Dec-64,37,611,578,184,138,133
huphh,TR,"raze, jett, chamber",3,318,210.2,1.1,76%,140.4,0.74,0.2,0.08,0.1,20%,9%,Apr-43,27,234,212,64,26,33
Nahsie,US,"sova, breach",2,231,195.4,1.02,69%,132.7,0.69,0.32,0.06,0.05,25%,12%,Mar-25,28,159,156,75,15,11
Kr1stal,RU,"sova, deadlock, fade",3,374,201.2,0.94,72%,136.8,0.68,0.25,0.09,0.09,25%,28%,Sep-32,23,256,271,95,33,31
Shiny,UN,"cypher, vyse, killjoy",3,235,227.4,1.07,71%,147.5,0.8,0.22,0.11,0.11,32%,9%,Feb-23,25,189,176,52,27,25
Smrty,UN,"killjoy, raze, jett",3,450,228.9,1.03,70%,153.9,0.76,0.28,0.12,0.16,18%,23%,13/56,27,343,333,126,56,70
BENECIA,KR,omen,1,257,187.5,1.03,71%,115.8,0.67,0.38,0.07,0.06,24%,12%,Jun-51,20,172,167,98,17,16
Effy,IT,"breach, gekko",2,187,197.9,0.95,76%,128.6,0.67,0.47,0.08,0.09,22%,7%,Feb-27,22,126,133,88,15,16
hanako,MY,"tejo, jett",2,42,223,1.03,76%,157.7,0.79,0.26,0.1,0.07,34%,,0/2,23,33,32,11,4,3
sunny,TR,"omen, cypher",2,86,231.5,1.02,67%,150.3,0.77,0.35,0.1,0.09,30%,33%,02-Jun,21,66,65,30,9,8
Apyr,NL,"jett, omen",2,45,221.5,1.09,62%,144.7,0.82,0.13,0.16,0.11,23%,22%,02-Sep,21,37,34,6,7,5
Bob,AU,"iso, raze, sova",3,1076,196.4,1.03,72%,132.3,0.68,0.29,0.06,0.05,30%,12%,24/208,25,733,709,317,68,54
Yuna,FR,"breach, kayo",2,162,179.8,0.91,70%,115.8,0.62,0.6,0.02,0.07,31%,3%,Jan-36,18,100,110,97,3,12
Nunmeister,CZ,"sova, yoru, reyna",3,305,218.3,1.07,69%,140.8,0.75,0.24,0.11,0.12,26%,22%,May-23,26,230,215,73,33,38
Vitie,RU,"omen, killjoy, cypher",3,403,206.7,1.04,70%,133.4,0.77,0.3,0.09,0.09,32%,11%,May-46,25,309,297,121,36,38
HarmonY,MY,"vyse, cypher, killjoy",3,83,239,1.09,73%,156.7,0.84,0.17,0.17,0.07,24%,8%,01-Dec,20,70,64,14,14,6
Spaz,US,"omen, fade, viper",3,290,182.5,1.02,75%,119.7,0.67,0.39,0.04,0.07,22%,14%,Jul-49,25,194,190,112,11,19
GENETICZZ,DE,iso,1,28,227,1.1,79%,160.6,0.82,0.14,0.14,0.21,29%,,0/2,23,23,21,4,4,6
RieNs,TR,"breach, sova, fade",3,726,210,1.06,72%,142.8,0.74,0.29,0.06,0.06,37%,18%,16/89,29,534,502,212,47,45
erde,CL,"astra, omen, breach",3,265,166.2,1.12,73%,110.7,0.6,0.4,0.03,0.06,28%,11%,Apr-35,19,160,143,105,8,17
38antmo,UN,"jett, clove, iso",3,102,225.8,0.93,65%,149.5,0.79,0.24,0.1,0.11,48%,18%,Mar-17,20,81,87,24,10,11
Slayzz,UN,"fade, sova",2,33,202,1.24,79%,147,0.79,0.42,0.03,0.06,28%,33%,01-Mar,16,26,21,14,1,2
HandlerOne,OM,"breach, fade, kayo",3,114,208,1.09,75%,138.2,0.74,0.27,0.14,0.09,36%,,0/15,26,84,77,31,16,10
kobra,KR,"cypher, yoru, raze",3,123,205.2,0.99,65%,132.3,0.7,0.26,0.12,0.11,25%,25%,May-20,20,86,87,32,15,13
lukxo,BR,"viper, cypher, omen",3,229,214.5,1.11,69%,143.4,0.77,0.16,0.15,0.07,34%,6%,Feb-35,28,177,160,37,34,16
FullMoon,KR,"vyse, sova, fade",3,165,191.4,1.07,73%,137.9,0.67,0.3,0.07,0.05,27%,40%,04-Oct,18,111,104,50,12,9
penny,CA,"raze, neon, yoru",3,490,216.8,1.09,71%,142.5,0.77,0.24,0.16,0.15,21%,14%,May-37,32,376,344,116,80,74
Niiko,PL,"vyse, viper",2,79,230.8,1.07,65%,121.8,0.82,0.1,0.11,0.14,35%,12%,Feb-17,25,65,61,8,9,11
gurbby,GB,"gekko, deadlock, iso",3,110,209.5,1.01,66%,134.4,0.74,0.12,0.12,0.06,29%,13%,Mar-24,20,81,80,13,13,7
umaruchans,TH,"cypher, vyse",2,116,220.6,1.11,76%,140.1,0.8,0.16,0.11,0.02,30%,13%,Mar-24,30,93,84,18,13,2
Limp,IT,"viper, omen",2,295,201.6,1.02,73%,129.8,0.69,0.37,0.1,0.05,24%,18%,Aug-45,24,203,199,109,29,15
MiradaNinja,CL,"cypher, viper, killjoy",3,265,190,1.19,71%,125.9,0.69,0.2,0.1,0.08,31%,14%,Mar-21,20,182,153,54,26,20
disisjohn,DE,"yoru, neon, raze",3,243,242.7,1.17,72%,144.7,0.84,0.19,0.2,0.19,25%,21%,Mar-14,23,203,174,46,48,45
ZynX,KR,"vyse, cypher, viper",3,294,221.1,1.09,65%,143.2,0.77,0.23,0.1,0.09,31%,8%,Apr-49,34,227,209,68,29,27
geeza,US,"vyse, cypher, kayo",3,756,223.2,1.12,70%,145.7,0.79,0.21,0.11,0.1,30%,26%,13/50,28,598,535,161,84,72
Eggsterr,US,yoru,1,779,206.7,1.11,73%,132.6,0.75,0.25,0.12,0.11,26%,29%,18/63,27,583,523,193,93,85
v1nny,BR,"sova, skye",2,109,198,0.99,76%,131.6,0.7,0.32,0.05,0.06,34%,7%,Jan-15,22,76,77,35,5,6
vita,US,"raze, clove, neon",3,886,228.5,1.06,72%,146.6,0.81,0.27,0.15,0.13,31%,13%,Aug-62,28,714,672,240,134,112
bucute,VN,"phoenix, vyse, neon",3,301,225.6,1.11,76%,153.5,0.79,0.28,0.11,0.12,33%,11%,Feb-19,25,238,214,85,33,36
D0MED,US,astra,1,31,225.5,0.79,68%,143.3,0.71,0.45,0.1,0.19,26%,17%,01-Jun,12,22,28,14,3,6
Vbbooy,BE,"breach, kayo",2,90,197.5,0.97,78%,128.3,0.69,0.51,0.06,0.07,28%,17%,01-Jun,22,62,64,46,5,6
BcJ,US,"sova, fade, skye",3,246,198.5,1.01,74%,133.7,0.67,0.44,0.08,0.11,23%,11%,Mar-28,29,165,164,108,19,27
Aace,JP,"iso, cypher, raze",3,469,231.5,1.18,72%,152.3,0.83,0.15,0.19,0.17,33%,6%,Mar-48,26,390,331,71,89,79
pablosaurio,ES,"sova, cypher",2,66,222.3,1.08,70%,153.2,0.82,0.2,0.08,0.09,35%,22%,02-Sep,21,54,50,13,5,6
Askia,BR,"viper, kayo, breach",3,288,199.4,1.05,76%,129.3,0.68,0.38,0.1,0.09,24%,22%,Jun-27,20,196,187,110,30,26
invy,PH,"sova, tejo, fade",3,386,214.4,0.99,69%,144.6,0.75,0.23,0.09,0.06,29%,6%,Mar-51,28,290,292,88,32,22
narky poo,GB,"jett, neon, yoru",3,130,245.5,1.11,67%,153.1,0.85,0.14,0.24,0.2,39%,,0/6,24,111,100,18,31,26
jas0n,VN,"fade, astra, cypher",3,151,234.6,1.04,69%,157,0.77,0.24,0.13,0.15,29%,21%,Apr-19,21,116,112,36,20,22
shion,BR,"sova, fade, skye",3,443,200.4,0.99,71%,138.7,0.65,0.31,0.06,0.06,23%,16%,Sep-55,24,289,292,136,27,25
JoXJo,KR,"tejo, fade, viper",3,457,201.3,1.06,73%,134.7,0.7,0.29,0.09,0.07,24%,19%,Sep-48,23,320,302,132,40,32
Jake,GB,"breach, gekko, fade",3,130,196.5,0.97,72%,126.3,0.69,0.52,0.06,0.11,29%,22%,02-Sep,22,90,93,68,8,14
MarT1n,CN,"viper, cypher, deadlock",3,279,180.4,1.06,71%,121.1,0.68,0.22,0.08,0.07,28%,,,24,189,178,62,15,13
Jemkin,RU,"jett, raze, yoru",3,453,216.9,1.12,70%,136.6,0.77,0.17,0.18,0.16,33%,6%,Feb-34,21,348,311,79,82,73
Melvin,US,"clove, jett, chamber",3,311,232.1,1.1,72%,151.3,0.81,0.2,0.14,0.15,31%,5%,Feb-37,28,253,231,61,44,46
MonOkson,UA,"sova, breach",2,45,201,1,67%,129.1,0.71,0.2,0.07,0.07,21%,10%,01-Oct,19,32,32,9,3,3
whitecat,PH,"chamber, jett, neon",3,231,230.3,1.11,73%,152.5,0.81,0.19,0.15,0.13,30%,23%,Mar-13,25,186,168,43,34,31
yearn,IN,"jett, raze, cypher",3,909,198,1.1,71%,133.5,0.72,0.16,0.11,0.06,35%,12%,22/179,25,659,599,149,98,59
Dragonlmao,UN,"jett, clove, phoenix",3,126,235.1,1.13,77%,151,0.86,0.33,0.16,0.09,34%,,0/6,25,108,96,41,20,11
dmo,US,reyna,1,44,232,0.97,68%,169.5,0.77,0.25,0.09,0.11,39%,33%,01-Mar,21,34,35,11,4,5
ElBicho,ES,"killjoy, vyse, cypher",3,101,184.4,1.09,70%,128.7,0.72,0.13,0.05,0.07,42%,19%,Apr-21,23,73,67,13,5,7
laloofy,UN,"sova, fade",2,44,210,0.92,66%,134.4,0.75,0.27,0.02,0,36%,,0/5,19,33,36,12,1,0
afino,NZ,"breach, kayo",2,197,184.7,0.94,72%,123.4,0.64,0.42,0.04,0.04,26%,13%,May-39,20,126,134,82,8,8
GoHam,UN,"killjoy, yoru",2,43,239.5,1.06,63%,150.6,0.81,0.16,0.12,0.07,28%,,0/6,18,35,33,7,5,3
yue,DE,"viper, clove",2,41,232.5,1.03,63%,151.8,0.83,0.24,0.02,0.15,34%,10%,01-Oct,18,34,33,10,1,6
Techno,IN,"omen, viper, astra",3,626,205.5,1.04,73%,129.3,0.71,0.38,0.11,0.12,27%,21%,Dec-56,25,444,428,239,71,75
JinNy,TH,"omen, gekko, breach",3,318,184.8,1.02,77%,115.1,0.65,0.48,0.07,0.04,26%,15%,Jul-46,23,206,202,152,21,14
hibar,FI,"breach, omen, astra",3,281,192.4,1.02,72%,123.3,0.68,0.39,0.04,0.05,31%,18%,Oct-57,20,191,187,109,11,13
Kolby,UN,"omen, deadlock, viper",3,239,222,1.09,70%,146.2,0.79,0.3,0.12,0.1,27%,,0/19,38,188,173,72,28,24
Kaaru,PL,"omen, viper, yoru",3,58,227.7,0.91,67%,145.8,0.72,0.31,0.16,0.16,30%,17%,02-Dec,15,42,46,18,9,9
NAMI,US,"omen, yoru, vyse",3,244,210.9,0.97,66%,139.6,0.75,0.22,0.08,0.09,24%,19%,Jul-37,25,184,190,54,19,22
qw1,TR,"neon, sage, jett",3,146,226.4,1.12,71%,143.8,0.79,0.14,0.21,0.16,29%,9%,01-Nov,22,115,103,21,31,23
Bgg,RU,"omen, phoenix, viper",3,322,215.4,1.06,73%,143.4,0.77,0.25,0.13,0.13,30%,14%,Jun-44,27,248,233,79,42,41
mts,NO,"deadlock, fade",2,46,201.5,1.1,70%,136.9,0.7,0.3,0.07,0.11,37%,,0/3,16,32,29,14,3,5
nysHAA,FR,"omen, viper, astra",3,163,196.5,1.05,71%,134.8,0.69,0.3,0.05,0.04,34%,21%,Jun-28,21,113,108,49,8,6
bazz,JP,omen,1,92,215.8,1.16,73%,136.1,0.77,0.25,0.12,0.12,26%,17%,01-Jun,23,71,61,23,11,11
Bruxo,BR,"iso, reyna, jett",3,303,232.3,1.07,68%,150.5,0.82,0.19,0.18,0.18,38%,8%,Feb-24,29,247,231,57,55,56
n0ths,US,"fade, sova",2,38,199.5,0.97,68%,122.2,0.74,0.24,0.05,0.05,21%,,0/12,14,28,29,9,2,2
Kaycze,AR,"vyse, killjoy",2,42,217,1.03,62%,138.8,0.81,0.12,0.1,0.12,27%,13%,01-Aug,23,34,33,5,4,5
Jazzyk1ns,CA,"yoru, breach, iso",3,308,213.2,1.03,76%,142.9,0.73,0.33,0.11,0.11,23%,19%,May-26,25,226,219,101,34,33
mimi,DK,"breach, killjoy, skye",3,545,179.3,1.01,74%,120.8,0.63,0.42,0.05,0.03,28%,16%,Dec-75,20,344,339,231,26,15
PIETY,PH,"vyse, kayo, cypher",3,382,215.2,1.11,74%,139.2,0.76,0.27,0.1,0.09,33%,26%,Sep-34,22,292,262,103,37,34
Rose,IN,"breach, kayo, skye",3,176,200.6,1.04,78%,129.2,0.74,0.43,0.03,0.04,22%,12%,Apr-33,26,130,125,76,5,7
zK1,UN,"neon, raze",2,49,264,1,65%,163,0.86,0.18,0.12,0.12,24%,,0/4,30,42,42,9,6,6
Megalodon,UN,"omen, viper",2,29,261.5,1.08,69%,153.4,0.97,0.03,0.14,0.07,28%,,0/12,14,28,26,1,4,2
Heni,GB,"sova, omen",2,57,183,1.18,81%,111.6,0.68,0.3,0.05,0.07,32%,67%,04-Jun,19,39,33,17,3,4
SugarZ3ro,JP,"omen, viper, brimstone",3,298,204.1,1,70%,132.2,0.73,0.36,0.07,0.06,31%,17%,May-30,23,218,219,106,16,15
fms,RU,"omen, phoenix, jett",3,83,222,0.99,64%,144.5,0.8,0.27,0.11,0.13,31%,14%,Feb-14,23,66,67,22,9,11
Luca,GB,"neon, raze, jett",3,339,217.6,1.05,71%,148.6,0.78,0.19,0.13,0.12,22%,16%,Jun-37,25,263,250,63,43,39
sacred,IN,"iso, cypher, phoenix",3,585,208.4,1.07,71%,138.8,0.74,0.27,0.09,0.1,24%,23%,Dec-53,31,435,407,160,52,59
Lamperouge,PH,"cypher, killjoy",2,38,195.5,1.04,68%,138,0.74,0.11,0.08,0.11,34%,17%,01-Jun,19,28,27,4,3,4
heat,BR,"cypher, viper, chamber",3,345,202.2,0.96,68%,135,0.69,0.19,0.07,0.08,36%,7%,Jun-83,19,238,247,65,24,27
drakk,CO,"jett, raze",2,61,245.3,1.08,57%,156.7,0.89,0.11,0.2,0.18,23%,,0/2,27,54,50,7,12,11
juseu,IE,"raze, jett, neon",3,395,225.5,1.06,68%,148.7,0.79,0.15,0.16,0.14,26%,10%,Apr-39,29,313,295,58,63,55
NeFi,PL,"omen, viper",2,390,204.1,1.08,73%,130.3,0.73,0.31,0.09,0.08,31%,17%,Sep-52,26,285,264,121,37,33
Scottie,US,"cypher, vyse, viper",3,1131,195.6,1.07,73%,128.4,0.69,0.29,0.08,0.08,30%,11%,21/193,26,786,734,328,94,88
Derrek,US,"sova, tejo, chamber",3,317,203.4,1.02,67%,142.7,0.7,0.26,0.07,0.04,31%,13%,Jun-48,30,223,219,84,21,14
spike,BR,"neon, yoru, breach",3,252,235.3,1.06,64%,156.8,0.81,0.29,0.16,0.18,26%,41%,Jul-17,28,205,193,74,40,45
Sayo,AU,"neon, raze, yoru",3,66,225,1.1,64%,157.5,0.86,0.11,0.23,0.18,30%,17%,01-Jun,36,57,52,7,15,12
Layman,TH,"fade, sova",2,128,188,1.01,77%,120.8,0.66,0.27,0.06,0.02,39%,25%,Apr-16,21,85,84,34,8,2
kefzero-,MN,"viper, killjoy, sova",3,78,213,0.95,60%,149,0.73,0.14,0.08,0.06,25%,11%,Feb-18,23,57,60,11,6,5
hiro,TR,"cypher, killjoy, raze",3,418,218.4,1.11,69%,147.3,0.79,0.2,0.09,0.1,32%,15%,May-34,31,331,298,85,39,43
E13,UN,"gekko, deadlock",2,40,213.5,0.94,63%,134.3,0.78,0.15,0.15,0.13,34%,,0/7,20,31,33,6,6,5
fl1pzjder,ID,"breach, viper, kayo",3,170,204.3,1.1,77%,136.2,0.71,0.4,0.11,0.12,29%,5%,Jan-19,20,120,109,68,19,21
bipo,IT,"yoru, iso, raze",3,239,206.9,1.13,69%,134.3,0.75,0.19,0.19,0.17,33%,10%,Feb-20,24,180,160,46,45,40
adora,LT,"iso, jett, yoru",3,664,232.5,1.15,69%,147.8,0.85,0.16,0.16,0.15,29%,13%,Aug-62,33,565,492,103,103,97
tripz,EG,"breach, killjoy, fade",3,413,215.4,0.98,69%,142,0.74,0.3,0.13,0.1,31%,17%,Nov-63,29,306,312,125,52,42
Bad,US,"neon, iso, yoru",3,166,223.4,0.99,71%,142,0.83,0.28,0.16,0.13,31%,27%,Apr-15,30,137,138,47,26,21
gyen,JP,"omen, viper",2,232,192,1.05,71%,124,0.67,0.25,0.1,0.1,34%,14%,Apr-29,18,156,148,57,23,23
arceus,UN,"jett, clove, reyna",3,239,205.5,1.07,72%,132.6,0.75,0.23,0.1,0.13,19%,15%,Jun-39,30,179,167,55,25,30
dre,UA,"reyna, breach, viper",3,571,205.9,0.99,72%,134.2,0.74,0.34,0.08,0.08,35%,10%,Jul-71,34,421,427,192,48,43
LOATHE,AU,"raze, jett, reyna",3,201,228.4,1,66%,151.4,0.78,0.12,0.14,0.12,27%,12%,Apr-34,26,157,157,24,29,24
MD2,PH,"chamber, yoru, tejo",3,72,232,1.11,68%,154.1,0.85,0.17,0.19,0.06,26%,20%,02-Oct,30,61,55,12,14,4
woody,ID,"skye, breach, kayo",3,158,212.4,1.06,75%,141.8,0.75,0.34,0.08,0.01,31%,6%,Jan-16,24,119,112,53,12,2
jakee,US,"omen, viper",2,453,204.9,1.05,72%,131.3,0.74,0.38,0.09,0.09,29%,11%,May-45,25,336,321,170,39,39
Amcar,DE,"cypher, viper",2,130,193.2,1.07,72%,131.2,0.72,0.18,0.05,0.02,37%,7%,Jan-14,25,93,87,24,7,2
Lusha,IE,"breach, gekko",2,68,186.7,0.9,74%,125.6,0.63,0.37,0.01,0.06,29%,17%,02-Dec,17,43,48,25,1,4
Pr0digy,VN,"omen, harbor, astra",3,231,197.6,1,75%,129.1,0.7,0.38,0.11,0.06,37%,19%,May-26,21,162,162,88,26,15
baugulfconchur,UN,"vyse, cypher",2,41,201.5,1,63%,127.3,0.73,0.1,0.05,0.12,39%,,0/8,17,30,30,4,2,5
strahlen,DE,"omen, viper, brimstone",3,297,215.8,0.97,77%,136.7,0.73,0.34,0.09,0.12,26%,8%,Mar-40,27,217,223,100,28,35
Always,KR,"jett, raze",2,71,240.8,1,61%,159.9,0.83,0.11,0.2,0.17,31%,,0/7,28,59,59,8,14,12
Hoax,IN,"fade, gekko, sova",3,626,186.5,1.03,73%,124.2,0.65,0.3,0.05,0.05,23%,14%,14/101,20,410,400,187,33,29
Apreggi,AU,"sova, fade",2,79,215.8,0.92,73%,121.2,0.77,0.16,0.08,0.1,32%,11%,Feb-18,23,61,66,13,6,8
XuNa,KR,"tejo, sova, clove",3,296,189.6,0.99,73%,132,0.66,0.29,0.06,0.06,27%,16%,Jul-43,22,196,198,85,17,17
SCar,ID,omen,1,195,189.5,1.05,73%,124.4,0.71,0.39,0.06,0.09,32%,24%,Aug-33,25,138,132,77,11,17
Ave,UN,"brimstone, omen",2,55,218,1.02,65%,141.7,0.76,0.27,0.05,0.09,28%,11%,01-Sep,17,42,41,15,3,5
nx1,CL,omen,1,60,191.3,1.11,75%,121,0.65,0.37,0.12,0.05,21%,11%,01-Sep,13,39,35,22,7,3
glym,BR,"omen, breach, kayo",3,127,174,0.94,76%,110.7,0.61,0.54,0.06,0.08,25%,23%,Jun-26,19,77,82,68,8,10
Shao,UN,"tejo, sova, sage",3,418,176.6,1.01,71%,122.1,0.64,0.24,0.05,0.05,31%,25%,19/76,26,268,266,101,22,22
Jia,EC,"reyna, breach",2,41,209,0.91,76%,144,0.71,0.37,0.07,0.05,20%,,0/5,16,29,32,15,3,2
PingSong,JP,"sova, fade",2,121,235.5,0.97,69%,147,0.8,0.25,0.12,0.07,29%,13%,Feb-16,22,97,100,30,14,8
TakaS,FR,"yoru, deadlock, iso",3,155,212.1,1.06,63%,144.8,0.81,0.18,0.1,0.14,22%,10%,Feb-20,27,125,118,28,16,21
kaza,AU,"viper, omen, astra",3,583,192.4,1.04,73%,131,0.69,0.27,0.06,0.06,31%,17%,Dec-69,27,403,388,155,33,33
JonahP,CA,"breach, viper, fade",3,437,205.2,1.05,75%,127.7,0.7,0.33,0.08,0.12,23%,15%,Jul-48,23,308,293,144,33,54
slowly,CN,"yoru, raze",2,128,192.3,0.99,66%,131.8,0.68,0.24,0.2,0.16,30%,,,23,87,88,31,25,20
Shadowz,US,"viper, killjoy, iso",3,886,225.7,1.02,73%,144.1,0.79,0.35,0.09,0.06,31%,12%,13/110,31,700,684,310,78,57
